Error opening file
2.6875 0.75 
10.5 0.666667 
18.7143 0.904762 
28.6429 3.35714 
40 0.555556 
52 1.16667 
65.8244 11 
71 2 
87 0.555556 
94 1 
100.529 1.64706 
110.727 2 
122 1.16667 
128 2 
141.454 10.9845 
37 4 
83 4 
148.5 4.38889 
18.1036 10.8135 
48 5 
93.4737 16.2829 
117.548 7.03226 
96.5 7 
106 8 
80 11 
124.667 12.6667 
2.4 13.72 
13 18 
37.5 22 
83 15 
59 16 
109 16 
117 19.5 
49 19 
81.227 28.7589 
122 19.5 
91 20 
9 23.5 
56 21 
127 22 
139.5 23.5 
23.8571 25.0571 
61 26 
106 25.5 
124 26 
51.7368 32.6491 
114.5 27 
131.057 34.7857 
16 28 
35.163 51.3407 
144 28.5 
5 29 
58.5 31.5 
67 30 
99.5077 33.4462 
119 30 
23 31 
9 34.6667 
43 32 
107.439 38.1228 
139.5 32 
0.555556 35.5 
68.3077 35.6538 
123.29 36.1936 
18.3684 37 
38 35 
116.5 37 
149.444 36 
142.5 37 
53.5319 42.5319 
4 42 
79.5806 44.6129 
90.7833 45.25 
139 42.5 
146.818 42.4091 
15 44 
62 45 
115.5 45.5 
6 47.5 
74 47 
0.555556 48 
111.055 49.8545 
132 49 
128.557 61.7838 
10 51 
127 51 
61.549 57.3529 
73.5 52 
122 53 
4 54 
19.7097 56.9032 
99 55 
147 54 
88.945 62.5138 
15 56 
79 56 
133 56 
8 57 
107 57 
42.0323 60.7419 
145.56 61.46 
4 60 
71 61 
101.871 63.3871 
11 62.5 
77 62.5 
23 63 
52.1508 68.5159 
39 65 
2.92308 72.9077 
147.846 71.3077 
73 69 
14 72 
22.2857 71.2143 
64.6744 73.1163 
104 70 
79 71 
136 71 
95 72 
109 72 
126.714 74.7143 
83 75 
9 76 
122.714 83.1319 
45 80.4737 
138 77 
85.2952 81.5181 
144 78 
20 79 
30 79.5 
114 79 
133 79 
144.318 94.106 
57 80 
104.5 81.5 
10.931 81.5862 
51 81 
25 82 
62 83 
2 85 
18 85 
138 86 
13 88 
28 88 
66.7955 90.6591 
79.9667 95.65 
7 89 
35.5 89.5 
56.1936 89 
114.452 91.3226 
0.555556 90 
18.0227 96.1591 
101 95.8349 
121 91 
127.66 96.7642 
44 92 
89 92 
144 92 
23 93 
5 94 
73 95.5 
31.5 98.5 
47 96 
27 98 
63 98 
57 99 
3.18182 100.409 
114 100 
52 101 
67.5 102 
90 102 
45 103 
60 103 
10 104 
23 105 
37.5 105 
109.286 105.286 
4 106 
50 106 
75 107.5 
113.932 114.796 
28.6667 111.667 
81.2857 108.286 
125 109 
147 109 
14.5676 111.973 
66.3667 111 
86 111 
3 112 
38.96 116.547 
52 116.531 
92 112 
138 113 
149.444 115.5 
60.4884 119.047 
133 116 
143 116.5 
3.51163 119.395 
14.5 121.5 
67.3542 129.146 
82.7097 121.097 
90.5484 120.452 
103 121 
25 122.5 
112 121 
20 122 
131.821 124.5 
42.5806 132 
140 125 
3.28571 127.286 
31.6452 131.145 
51 127 
92.5769 130.09 
79 129 
138 132 
14 130 
116 132.083 
148.474 133.079 
23 131 
129.646 138.788 
4 134 
17 134 
10 135 
99.8889 138.506 
51 136 
0.555556 138 
21 138 
6 139.5 
32 140 
59 139 
12 140 
75.5 142 
82 140 
89 141 
51.9091 143.636 
65 142 
2 144.818 
15 144 
23 144 
118 144 
143 144.5 
43.5909 146.818 
9 146 
68 147 
106 148 
27 148 
37 148 
122 148.353 
16.8571 149.095 
87.1429 149.095 
148.818 148.818 
4 149.444 
32 149.444 
59 149.444 
99 149.444 
135 149.444 
